Order_ID,Order_Date,Customer_Name,Region,Product_Category,Product_Name,Quantity,Sales,Profit
10001,01-01-2022,Suman,East,Technology,Chair,6,4236,1048.024792
10002,02-01-2022,Pooja,North,Technology,Monitor,9,7137,2091.748317
10003,03-01-2022,Rahul,North,Office Supplies,Monitor,3,7119,1438.719561
10004,04-01-2022,Suman,West,Technology,Pen,2,8516,1537.505901
10005,05-01-2022,Neha,East,Technology,Pen,5,12940,2325.880424
10006,06-01-2022,Kiran,South,Office Supplies,Monitor,9,20448,2997.92409
10007,07-01-2022,Rahul,West,Technology,Monitor,6,20178,3373.207044
10008,08-01-2022,Rahul,East,Technology,Printer,8,38984,8141.931035
10009,09-01-2022,Suman,East,Office Supplies,Printer,8,31408,8895.904615
10010,10-01-2022,Ravi,South,Office Supplies,Chair,7,7196,1431.795925
10011,11-01-2022,Neha,West,Furniture,Desk,5,13165,3479.232845
10012,12-01-2022,Suman,East,Technology,Table,2,4848,1288.089252
10013,13-01-2022,Neha,East,Furniture,Desk,5,9300,1671.285971
10014,14-01-2022,Neha,East,Furniture,Printer,7,9534,1304.893891
10015,15-01-2022,Kiran,South,Office Supplies,Chair,7,26012,5459.748898
10016,16-01-2022,Rahul,West,Technology,Desk,2,5724,924.2504763
10017,17-01-2022,Pooja,West,Technology,Laptop,7,33740,2373.953716
10018,18-01-2022,Kiran,West,Office Supplies,Pen,6,23964,3461.654321
10019,19-01-2022,Kiran,West,Furniture,Desk,7,17269,5155.107938
10020,20-01-2022,Neha,North,Office Supplies,Table,8,4536,281.8124606
10021,21-01-2022,Ankit,North,Technology,Chair,4,8568,1920.660525
10022,22-01-2022,Rahul,West,Office Supplies,Desk,1,1520,395.6517079
10023,23-01-2022,Ravi,South,Technology,Monitor,8,29144,6183.816933
10024,24-01-2022,Kiran,North,Furniture,Laptop,8,15760,3032.808031
10025,25-01-2022,Pooja,East,Technology,Pen,3,5646,1281.01306
10026,26-01-2022,Ankit,North,Furniture,Laptop,3,10290,1618.984192
10027,27-01-2022,Ankit,East,Furniture,Chair,5,9180,668.6751871
10028,28-01-2022,Ravi,West,Technology,Printer,3,10998,3195.941138
10029,29-01-2022,Kiran,North,Technology,Pen,5,8710,1376.834927
10030,30-01-2022,Pooja,South,Furniture,Laptop,8,17640,3816.366536
10031,31-01-2022,Rahul,North,Office Supplies,Printer,1,3699,676.2793265
10032,01-02-2022,Amit,North,Technology,Table,2,6188,393.9792423
10033,02-02-2022,Pooja,North,Furniture,Chair,2,8874,2557.368334
10034,03-02-2022,Ravi,West,Furniture,Chair,4,8716,2162.738616
10035,04-02-2022,Ankit,South,Office Supplies,Pen,9,16335,1425.628527
10036,05-02-2022,Rahul,North,Technology,Laptop,2,2134,630.4096755
10037,06-02-2022,Pooja,South,Furniture,Table,9,28836,6754.121992
10038,07-02-2022,Amit,West,Office Supplies,Monitor,7,20657,3472.037083
10039,08-02-2022,Amit,East,Furniture,Pen,8,17984,3647.919774
10040,09-02-2022,Neha,North,Technology,Monitor,1,1147,87.95674357
10041,10-02-2022,Neha,South,Office Supplies,Pen,5,13465,2559.735246
10042,11-02-2022,Suman,South,Furniture,Laptop,9,29772,2036.859359
10043,12-02-2022,Ravi,West,Office Supplies,Table,4,2496,464.7896804
10044,13-02-2022,Kiran,North,Technology,Laptop,2,4074,766.620559
10045,14-02-2022,Pooja,East,Office Supplies,Chair,6,14820,3980.795699
10046,15-02-2022,Pooja,South,Technology,Monitor,2,6524,1508.768783
10047,16-02-2022,Kiran,North,Furniture,Printer,3,6951,781.2096696
10048,17-02-2022,Suman,East,Technology,Desk,8,10512,2860.383902
10049,18-02-2022,Ankit,South,Furniture,Chair,3,10803,2088.335127
10050,19-02-2022,Ankit,South,Furniture,Chair,2,9302,1875.235477
10051,20-02-2022,Suman,East,Technology,Monitor,6,12924,1192.178804
10052,21-02-2022,Ankit,East,Furniture,Pen,3,1893,500.5913543
10053,22-02-2022,Neha,West,Office Supplies,Chair,1,730,206.4011335
10054,23-02-2022,Pooja,North,Furniture,Desk,3,2682,653.7312305
10055,24-02-2022,Suman,North,Technology,Table,6,24438,6969.427109
10056,25-02-2022,Pooja,West,Office Supplies,Chair,3,4443,557.9296185
10057,26-02-2022,Kiran,South,Office Supplies,Table,9,12888,3418.92596
10058,27-02-2022,Amit,East,Furniture,Laptop,7,13363,2301.419767
10059,28-02-2022,Neha,East,Furniture,Pen,5,17275,1571.66742
10060,01-03-2022,Rahul,East,Technology,Table,2,6482,1407.891371
10061,02-03-2022,Neha,South,Office Supplies,Chair,9,30942,6839.112354
10062,03-03-2022,Suman,East,Technology,Pen,5,19600,2385.930117
10063,04-03-2022,Rahul,East,Furniture,Desk,7,21028,1195.932444
10064,05-03-2022,Amit,West,Office Supplies,Pen,9,31797,3178.485824
10065,06-03-2022,Suman,South,Technology,Table,4,17916,2686.403636
10066,07-03-2022,Ravi,North,Technology,Table,9,38907,3575.192545
10067,08-03-2022,Pooja,West,Technology,Printer,1,4980,490.5672856
10068,09-03-2022,Amit,West,Technology,Printer,6,7266,1074.261142
10069,10-03-2022,Pooja,North,Technology,Pen,2,6952,2019.185136
10070,11-03-2022,Ankit,West,Office Supplies,Monitor,8,15768,3801.047938
10071,12-03-2022,Ravi,South,Technology,Monitor,5,20995,2728.029421
10072,13-03-2022,Ravi,East,Office Supplies,Printer,3,11058,3183.609449
10073,14-03-2022,Amit,South,Technology,Chair,2,3284,694.2760164
10074,15-03-2022,Ravi,North,Furniture,Laptop,8,35848,5874.139715
10075,16-03-2022,Rahul,North,Furniture,Pen,7,21476,3588.103768
10076,17-03-2022,Ravi,West,Technology,Laptop,9,18972,2896.761011
10077,18-03-2022,Pooja,South,Furniture,Printer,8,34576,3742.783302
10078,19-03-2022,Pooja,South,Office Supplies,Table,4,9588,1406.157365
10079,20-03-2022,Suman,North,Technology,Desk,2,5384,979.7485329
10080,21-03-2022,Pooja,South,Office Supplies,Pen,2,9144,1664.270524
10081,22-03-2022,Suman,North,Technology,Printer,2,3182,765.0617057
10082,23-03-2022,Pooja,South,Furniture,Chair,6,7194,1004.997946
10083,24-03-2022,Rahul,South,Office Supplies,Desk,7,32144,7367.388963
10084,25-03-2022,Kiran,South,Furniture,Pen,6,14406,2802.297757
10085,26-03-2022,Suman,North,Furniture,Pen,2,5356,1555.710997
10086,27-03-2022,Neha,West,Technology,Monitor,4,4928,721.0710289
10087,28-03-2022,Ankit,South,Office Supplies,Table,3,3036,835.8232964
10088,29-03-2022,Amit,North,Furniture,Pen,4,12748,3252.787798
10089,30-03-2022,Pooja,North,Technology,Table,5,22980,4812.381315
10090,31-03-2022,Ravi,South,Technology,Printer,7,29792,6364.423748
10091,01-04-2022,Kiran,South,Technology,Chair,9,8379,596.2704505
10092,02-04-2022,Pooja,West,Furniture,Desk,2,9988,2872.11084
10093,03-04-2022,Ravi,North,Technology,Desk,8,10456,802.33087
10094,04-04-2022,Ankit,North,Office Supplies,Chair,3,5337,1018.344042
10095,05-04-2022,Ankit,East,Office Supplies,Pen,9,24489,3245.225958
10096,06-04-2022,Ankit,North,Furniture,Pen,4,5416,852.8195786
10097,07-04-2022,Ravi,West,Office Supplies,Printer,3,11136,2255.549502
10098,08-04-2022,Pooja,East,Technology,Monitor,6,18516,5132.873028
10099,09-04-2022,Ankit,East,Furniture,Monitor,9,29412,4835.09106
10100,10-04-2022,Rahul,East,Technology,Monitor,7,33866,10055.91228
10101,11-04-2022,Suman,South,Furniture,Table,4,15360,3044.398331
10102,12-04-2022,Ravi,South,Furniture,Monitor,3,11184,1008.108824
10103,13-04-2022,Ravi,North,Technology,Chair,4,8476,826.4296957
10104,14-04-2022,Pooja,East,Office Supplies,Desk,3,2325,532.4895394
10105,15-04-2022,Ravi,West,Office Supplies,Desk,3,13809,864.4357852
10106,16-04-2022,Ravi,South,Furniture,Table,9,39267,6678.743168
